date,Opening price,Highest price,Lowest price,Closing price,Volume(share),Turnover(RMB),Ups and downs,Change(%)
1992-05-19,590.41,598.11,571.82,598.11,4779000,58722000.0,26.29,4.6
1992-05-20,617.28,623.88,598.11,616.99,6564600,119286000.0,18.88,3.16
1992-05-21,1260.32,1334.98,604.01,1266.49,8965700,181276992.0,649.5,105.27
1992-05-22,1306.37,1349.71,1262.44,1339.99,9372500,204172992.0,73.5,5.8
1992-05-25,1411.98,1428.79,1339.99,1421.57,8896900,222428992.0,81.58,6.09
1992-05-26,1332.39,1429.01,1291.0,1301.35,6812800,149448000.0,-120.22,-8.46
1992-05-27,1250.56,1285.61,823.36,1193.17,6452800,138824000.0,-108.18,-8.31
1992-05-28,1123.04,1184.18,1114.94,1160.17,4838900,117388000.0,-33.0,-2.77
1992-05-29,1243.65,1253.37,1154.01,1234.71,5161500,135996992.0,74.54,6.42
1992-06-01,1175.69,1249.58,1129.28,1183.24,3939400,105366000.0,-51.47,-4.17
1992-06-02,1155.88,1184.28,1138.58,1141.02,3403300,84509000.0,-42.22,-3.57
1992-06-03,1075.9,1141.02,1033.47,1059.07,4100200,91844000.0,-81.95,-7.18
1992-06-04,1087.49,1118.93,1050.45,1104.46,4318400,94263000.0,45.39,4.29
1992-06-05,1125.01,1143.07,1099.91,1105.76,4400700,100847000.0,1.3,0.12
1992-06-08,1092.07,1121.41,1085.19,1093.46,2874700,66441000.0,-12.3,-1.11
1992-06-09,1116.92,1144.39,1079.65,1126.62,3510000,81673000.0,33.16,3.03
1992-06-10,1199.23,1206.51,1134.73,1187.02,5873200,154616992.0,60.4,5.36
1992-06-11,1179.28,1188.68,1172.09,1178.3,3489700,107985000.0,-8.72,-0.73
1992-06-12,1164.12,1178.3,1153.97,1171.71,4720200,117698000.0,-6.59,-0.56
1992-06-15,1174.41,1181.86,1152.69,1171.85,3774700,93130000.0,0.14,0.01
1992-06-16,1171.75,1171.75,1164.24,1166.7,3515800,92530000.0,-5.15,-0.44
1992-06-17,1171.29,1186.59,1166.26,1169.57,3475500,90657000.0,2.87,0.25
1992-06-18,1167.16,1172.86,1158.32,1168.43,2910100,65289000.0,-1.14,-0.1
1992-06-19,1169.97,1171.94,1161.8,1171.94,2514600,60859000.0,3.51,0.3
1992-06-22,1173.68,1180.21,1165.74,1169.9,2792400,71392000.0,-2.04,-0.17
1992-06-23,1162.83,1172.46,1154.62,1158.17,1949000,56443000.0,-11.73,-1.0
1992-06-24,1150.89,1158.17,1144.46,1151.06,1697500,44772000.0,-7.11,-0.61
1992-06-25,1153.48,1160.23,1148.02,1160.23,1984600,58837000.0,9.17,0.8
1992-06-26,1164.29,1207.82,1160.23,1164.67,2906100,92243000.0,4.44,0.38
1992-06-29,1168.89,1173.49,1156.68,1169.51,5361000,114991000.0,4.84,0.42
1992-06-30,1186.62,1193.16,1169.51,1191.19,5897600,160259008.0,21.68,1.85
1992-07-01,1199.54,1215.13,1182.05,1194.18,5833000,122926000.0,2.99,0.25
1992-07-02,1187.3,1198.66,1179.86,1187.48,4651200,101151000.0,-6.7,-0.56
1992-07-03,1189.09,1193.39,1183.96,1189.16,7524500,190398000.0,1.68,0.14
1992-07-06,1197.76,1215.24,1190.27,1201.01,6378200,195780000.0,11.85,1.0
1992-07-07,1201.01,1206.91,1195.81,1206.46,6882600,204760000.0,5.45,0.45
1992-07-08,1192.37,1211.27,1182.72,1185.5,6804300,138880000.0,-20.96,-1.74
1992-07-09,1172.44,1187.18,1168.78,1178.53,5321600,130815000.0,-6.97,-0.59
1992-07-10,1175.14,1192.98,1166.45,1188.62,5814900,134101000.0,10.09,0.86
1992-07-13,1156.83,1198.9,1131.21,1136.33,5159500,123468000.0,-52.29,-4.4
1992-07-14,1124.65,1139.96,1110.19,1114.05,4446200,95340000.0,-22.28,-1.96
1992-07-15,1107.18,1135.57,1100.16,1107.69,4481200,121584000.0,-6.36,-0.57
1992-07-16,1114.13,1214.83,1108.23,1124.64,5046400,151032000.0,16.95,1.53
1992-07-17,1121.49,1134.32,1116.14,1125.56,6267100,115821000.0,0.92,0.08
1992-07-20,1100.6,1126.96,1094.81,1098.82,3169900,67313000.0,-26.74,-2.38
1992-07-21,1087.61,1096.49,1079.75,1082.39,3591200,66221000.0,-16.43,-1.5
1992-07-22,1059.22,1081.81,1034.91,1035.66,4734700,105623000.0,-46.73,-4.32
1992-07-23,1020.07,1033.75,961.61,1014.57,7701400,137012992.0,-21.09,-2.04
1992-07-24,1165.89,1178.9,1014.08,1142.02,5715500,100041000.0,127.45,12.56
1992-07-27,1169.42,1178.81,1108.05,1149.33,5956000,122257000.0,7.31,0.64
1992-07-28,1126.88,1148.63,1102.02,1105.95,7838700,105616000.0,-43.38,-3.77
1992-07-29,1078.31,1108.06,1047.03,1087.12,6898700,85225000.0,-18.83,-1.7
1992-07-30,1067.45,1087.36,1043.79,1057.4,9910800,88690000.0,-29.72,-2.73
1992-07-31,1045.67,1052.07,1032.54,1052.07,8714900,77149000.0,-5.33,-0.5
1992-08-03,1034.7,1060.36,1026.83,1031.55,6010300,73754000.0,-20.52,-1.95
1992-08-04,1018.3,1036.33,1016.16,1035.63,5247200,63035000.0,4.08,0.4
1992-08-05,1015.76,1038.3,1011.66,1012.55,6114600,76139000.0,-23.08,-2.23
1992-08-06,988.38,1010.76,983.22,1002.17,7255500,108106000.0,-10.38,-1.03
1992-08-07,1003.22,1006.11,995.71,1005.23,7825600,101706000.0,3.06,0.31
1992-08-10,992.73,1006.64,956.55,964.09,8178100,111257000.0,-41.14,-4.09
1992-08-11,926.81,961.61,797.6,863.41,10699900,153828000.0,-100.68,-10.44
1992-08-12,675.0,843.3,627.36,781.21,14483100,188800992.0,-82.2,-9.52
1992-08-13,797.17,890.06,745.62,850.94,11559400,171260000.0,69.73,8.93
1992-08-14,857.1,900.51,818.12,858.38,10440700,159447008.0,7.44,0.87
1992-08-17,898.66,940.76,858.38,939.46,11335700,190291008.0,81.08,9.45
1992-08-18,954.89,999.69,921.98,933.44,14849400,259400992.0,-6.02,-0.64
1992-08-19,920.66,951.16,888.23,939.51,7595200,131836000.0,6.07,0.65
1992-08-20,930.7,946.73,918.65,932.32,16056500,177488000.0,-7.19,-0.77
1992-08-21,916.99,938.37,912.89,916.25,17056700,189594000.0,-16.07,-1.72
1992-08-24,888.95,920.85,881.33,884.1,9934700,155058000.0,-32.15,-3.51
1992-08-25,868.1,887.49,848.05,849.57,8466200,135092000.0,-34.53,-3.91
1992-08-26,841.42,877.25,827.36,877.25,12615300,153392000.0,27.68,3.26
1992-08-27,874.75,880.02,861.64,863.77,5425800,89723000.0,-13.48,-1.54
